dataset,class,count
raw_plantvillage,Tomato___Bacterial_spot,2127
raw_plantvillage,Tomato___Early_blight,1000
raw_plantvillage,Tomato___Late_blight,1909
raw_plantvillage,Tomato___Leaf_Mold,952
raw_plantvillage,Tomato___Septoria_leaf_spot,1771
raw_plantvillage,Tomato___Spider_mites Two-spotted_spider_mite,1676
raw_plantvillage,Tomato___Target_Spot,1404
raw_plantvillage,Tomato___Tomato_Yellow_Leaf_Curl_Virus,5357
raw_plantvillage,Tomato___Tomato_mosaic_virus,373
raw_plantvillage,Tomato___healthy,1591
plantvillage_train,Tomato___Bacterial_spot,1488
plantvillage_train,Tomato___Early_blight,700
plantvillage_train,Tomato___Late_blight,1336
plantvillage_train,Tomato___Leaf_Mold,666
plantvillage_train,Tomato___Septoria_leaf_spot,1239
plantvillage_train,Tomato___Spider_mites Two-spotted_spider_mite,1173
plantvillage_train,Tomato___Target_Spot,982
plantvillage_train,Tomato___Tomato_Yellow_Leaf_Curl_Virus,3749
plantvillage_train,Tomato___Tomato_mosaic_virus,261
plantvillage_train,Tomato___healthy,1113
plantvillage_val,Tomato___Bacterial_spot,319
plantvillage_val,Tomato___Early_blight,150
plantvillage_val,Tomato___Late_blight,286
plantvillage_val,Tomato___Leaf_Mold,142
plantvillage_val,Tomato___Septoria_leaf_spot,265
plantvillage_val,Tomato___Spider_mites Two-spotted_spider_mite,251
plantvillage_val,Tomato___Target_Spot,210
plantvillage_val,Tomato___Tomato_Yellow_Leaf_Curl_Virus,803
plantvillage_val,Tomato___Tomato_mosaic_virus,55
plantvillage_val,Tomato___healthy,238
plantvillage_test,Tomato___Bacterial_spot,320
plantvillage_test,Tomato___Early_blight,150
plantvillage_test,Tomato___Late_blight,287
plantvillage_test,Tomato___Leaf_Mold,144
plantvillage_test,Tomato___Septoria_leaf_spot,267
plantvillage_test,Tomato___Spider_mites Two-spotted_spider_mite,252
plantvillage_test,Tomato___Target_Spot,212
plantvillage_test,Tomato___Tomato_Yellow_Leaf_Curl_Virus,805
plantvillage_test,Tomato___Tomato_mosaic_virus,57
plantvillage_test,Tomato___healthy,240
taiwan_external,Tomato___Bacterial_spot,110
taiwan_external,Tomato___Early_blight,0
taiwan_external,Tomato___Late_blight,98
taiwan_external,Tomato___Leaf_Mold,0
taiwan_external,Tomato___Septoria_leaf_spot,0
taiwan_external,Tomato___Spider_mites Two-spotted_spider_mite,0
taiwan_external,Tomato___Target_Spot,0
taiwan_external,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0
taiwan_external,Tomato___Tomato_mosaic_virus,0
taiwan_external,Tomato___healthy,106
bangladesh_bbox_external,Tomato___Bacterial_spot,93
bangladesh_bbox_external,Tomato___Early_blight,84
bangladesh_bbox_external,Tomato___Late_blight,179
bangladesh_bbox_external,Tomato___Leaf_Mold,303
bangladesh_bbox_external,Tomato___Septoria_leaf_spot,0
bangladesh_bbox_external,Tomato___Spider_mites Two-spotted_spider_mite,0
bangladesh_bbox_external,Tomato___Target_Spot,47
bangladesh_bbox_external,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0
bangladesh_bbox_external,Tomato___Tomato_mosaic_virus,0
bangladesh_bbox_external,Tomato___healthy,395
