model,corruption_type,level,n,accuracy,macro_f1,baseline_accuracy,drop_rate_pct
tiny_cnn_c,brightness,1,2727,0.6593325999266594,0.5466094990807606,0.9625962596259626,31.504761904761903
tiny_cnn_c,brightness,2,2727,0.28786211954528784,0.12849079970617766,0.9625962596259626,70.0952380952381
tiny_cnn_c,brightness,3,2727,0.10524385771910524,0.019313593539703904,0.9625962596259626,89.06666666666666
tiny_cnn_c,shadow,1,2727,0.9603960396039604,0.9493948452348178,0.9625962596259626,0.22857142857143517
tiny_cnn_c,shadow,2,2727,0.9123579024569124,0.8935509822506825,0.9625962596259626,5.219047619047618
tiny_cnn_c,shadow,3,2727,0.49834983498349833,0.42877207422335417,0.9625962596259626,48.228571428571435
tiny_cnn_c,reflection,1,2727,0.9563623028969563,0.9422705859997865,0.9625962596259626,0.6476190476190529
tiny_cnn_c,reflection,2,2727,0.9237257059039238,0.9011664051669509,0.9625962596259626,4.038095238095236
tiny_cnn_c,reflection,3,2727,0.8085808580858086,0.7607138658765388,0.9625962596259626,16.0
tiny_cnn_c,blur,1,2727,0.607994132746608,0.44593458224708116,0.9625962596259626,36.83809523809524
tiny_cnn_c,blur,2,2727,0.497983131646498,0.35043973306035475,0.9625962596259626,48.266666666666666
tiny_cnn_c,blur,3,2727,0.4154748808214155,0.2846180665188684,0.9625962596259626,56.83809523809524
tiny_cnn_c,noise,1,2727,0.9559955995599559,0.9448059124684685,0.9625962596259626,0.685714285714294
tiny_cnn_c,noise,2,2727,0.7356068940227356,0.7035405539773348,0.9625962596259626,23.580952380952382
tiny_cnn_c,noise,3,2727,0.17198386505317198,0.14069915307350364,0.9625962596259626,82.13333333333334
tiny_cnn_c,occlusion,1,2727,0.9486615328199487,0.9353168547144876,0.9625962596259626,1.4476190476190471
tiny_cnn_c,occlusion,2,2727,0.9024569123579025,0.8712859062386608,0.9625962596259626,6.247619047619048
tiny_cnn_c,occlusion,3,2727,0.7194719471947195,0.6205471819840331,0.9625962596259626,25.257142857142856
