,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Tomato___Bacterial_spot,46,43,0,0,4,0,0,0,0,0
Tomato___Early_blight,31,36,14,0,3,0,0,0,0,0
Tomato___Late_blight,38,19,86,0,29,0,0,7,0,0
Tomato___Leaf_Mold,147,27,82,0,40,0,0,7,0,0
Tomato___Septoria_leaf_spot,0,0,0,0,0,0,0,0,0,0
Tomato___Spider_mites Two-spotted_spider_mite,0,0,0,0,0,0,0,0,0,0
Tomato___Target_Spot,34,3,0,0,10,0,0,0,0,0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0,0,0,0,0,0,0,0,0,0
Tomato___Tomato_mosaic_virus,0,0,0,0,0,0,0,0,0,0
Tomato___healthy,198,133,12,0,52,0,0,0,0,0
