,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Tomato___Bacterial_spot,31,42,10,0,0,0,0,0,0,10
Tomato___Early_blight,31,17,36,0,0,0,0,0,0,0
Tomato___Late_blight,19,37,114,0,0,0,0,9,0,0
Tomato___Leaf_Mold,64,33,175,0,11,0,0,7,0,13
Tomato___Septoria_leaf_spot,0,0,0,0,0,0,0,0,0,0
Tomato___Spider_mites Two-spotted_spider_mite,0,0,0,0,0,0,0,0,0,0
Tomato___Target_Spot,28,0,16,0,0,0,0,0,0,3
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0,0,0,0,0,0,0,0,0,0
Tomato___Tomato_mosaic_virus,0,0,0,0,0,0,0,0,0,0
Tomato___healthy,106,136,121,0,0,0,0,0,0,32
