,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Tomato___Bacterial_spot,19,24,43,0,0,0,0,1,0,6
Tomato___Early_blight,19,0,60,0,0,0,0,0,0,5
Tomato___Late_blight,16,31,127,0,0,0,0,5,0,0
Tomato___Leaf_Mold,32,4,165,6,1,0,0,62,0,33
Tomato___Septoria_leaf_spot,0,0,0,0,0,0,0,0,0,0
Tomato___Spider_mites Two-spotted_spider_mite,0,0,0,0,0,0,0,0,0,0
Tomato___Target_Spot,4,0,24,0,0,0,0,0,0,19
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0,0,0,0,0,0,0,0,0,0
Tomato___Tomato_mosaic_virus,0,0,0,0,0,0,0,0,0,0
Tomato___healthy,58,14,264,0,6,0,0,4,0,49
