,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Tomato___Bacterial_spot,46,30,11,0,0,0,0,0,0,6
Tomato___Early_blight,36,14,34,0,0,0,0,0,0,0
Tomato___Late_blight,44,7,108,0,20,0,0,0,0,0
Tomato___Leaf_Mold,66,3,186,1,10,0,0,0,0,37
Tomato___Septoria_leaf_spot,0,0,0,0,0,0,0,0,0,0
Tomato___Spider_mites Two-spotted_spider_mite,0,0,0,0,0,0,0,0,0,0
Tomato___Target_Spot,28,0,0,0,3,0,0,0,0,16
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0,0,0,0,0,0,0,0,0,0
Tomato___Tomato_mosaic_virus,0,0,0,0,0,0,0,0,0,0
Tomato___healthy,182,33,148,0,4,0,0,0,0,28
