,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.16981132075471697,0.18,0.17475728155339806,100.0
Tomato___Early_blight,0.1317365269461078,0.2558139534883721,0.17391304347826086,86.0
Tomato___Late_blight,0.27419354838709675,0.4636363636363636,0.34459459459459457,110.0
Tomato___Leaf_Mold,0.0,0.0,0.0,87.0
Tomato___Septoria_leaf_spot,0.3273809523809524,0.3767123287671233,0.3503184713375796,146.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.35,0.30434782608695654,0.32558139534883723,69.0
Tomato___Tomato_mosaic_virus,0.0,0.0,0.0,51.0
Tomato___healthy,0.1111111111111111,0.016666666666666666,0.028985507246376812,60.0
micro avg,0.24,0.23695345557122707,0.23846699787083037,709.0
macro avg,0.17052918244749815,0.19964714233068526,0.17476878669488088,709.0
weighted avg,0.19335126858914434,0.23695345557122707,0.20548434249508415,709.0
