,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Tomato___Bacterial_spot,8,13,16,0,60,0,0,1,0,2
Tomato___Early_blight,8,14,20,1,42,0,0,1,0,0
Tomato___Late_blight,6,22,34,3,42,0,1,2,0,0
Tomato___Leaf_Mold,9,14,28,1,31,0,0,4,0,0
Tomato___Septoria_leaf_spot,25,24,20,1,74,0,0,1,1,0
Tomato___Spider_mites Two-spotted_spider_mite,0,0,0,0,0,0,0,0,0,0
Tomato___Target_Spot,0,0,0,0,0,0,0,0,0,0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,3,9,6,0,40,0,0,11,0,0
Tomato___Tomato_mosaic_virus,1,13,7,0,24,0,1,5,0,0
Tomato___healthy,1,9,17,0,29,0,0,4,0,0
