,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.13114754098360656,0.08,0.09937888198757763,100.0
Tomato___Early_blight,0.11864406779661017,0.16279069767441862,0.13725490196078433,86.0
Tomato___Late_blight,0.22972972972972974,0.3090909090909091,0.26356589147286824,110.0
Tomato___Leaf_Mold,0.16666666666666666,0.011494252873563218,0.021505376344086023,87.0
Tomato___Septoria_leaf_spot,0.21637426900584794,0.5068493150684932,0.30327868852459017,146.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.3793103448275862,0.15942028985507245,0.22448979591836735,69.0
Tomato___Tomato_mosaic_virus,0.0,0.0,0.0,51.0
Tomato___healthy,0.0,0.0,0.0,60.0
micro avg,0.20084865629420084,0.2002820874471086,0.20056497175141244,709.0
macro avg,0.1552340773762559,0.15370568307030708,0.1311841920260342,709.0
weighted avg,0.1704534150452703,0.2002820874471086,0.1584957828128261,709.0
