,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.15789473684210525,0.03,0.05042016806722689,100.0
Tomato___Early_blight,0.12631578947368421,0.27906976744186046,0.17391304347826086,86.0
Tomato___Late_blight,0.25943396226415094,0.5,0.3416149068322981,110.0
Tomato___Leaf_Mold,0.0,0.0,0.0,87.0
Tomato___Septoria_leaf_spot,0.24896265560165975,0.410958904109589,0.31007751937984496,146.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.4,0.057971014492753624,0.10126582278481013,69.0
Tomato___Tomato_mosaic_virus,0.08333333333333333,0.0392156862745098,0.05333333333333334,51.0
Tomato___healthy,0.0,0.0,0.0,60.0
micro avg,0.21052631578947367,0.20874471086036672,0.2096317280453258,709.0
macro avg,0.1594925596893667,0.1646519215398391,0.1288280992344718,709.0
weighted avg,0.17403232037495953,0.20874471086036672,0.15875153441327952,709.0
