,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.23170731707317074,0.19,0.2087912087912088,100.0
Tomato___Early_blight,0.17482517482517482,0.29069767441860467,0.2183406113537118,86.0
Tomato___Late_blight,0.2210144927536232,0.5545454545454546,0.3160621761658031,110.0
Tomato___Leaf_Mold,0.4,0.022988505747126436,0.043478260869565216,87.0
Tomato___Septoria_leaf_spot,0.38095238095238093,0.3287671232876712,0.35294117647058826,146.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.38095238095238093,0.11594202898550725,0.17777777777777778,69.0
Tomato___Tomato_mosaic_virus,0.26666666666666666,0.0784313725490196,0.12121212121212122,51.0
Tomato___healthy,0.0,0.0,0.0,60.0
micro avg,0.2470414201183432,0.23554301833568406,0.24115523465703972,709.0
macro avg,0.2570148016529247,0.19767151994167295,0.17982541658009701,709.0
weighted avg,0.2719634031734028,0.23554301833568406,0.2090038901870541,709.0
