,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.16666666666666666,0.02,0.03571428571428571,100.0
Tomato___Early_blight,0.13382899628252787,0.4186046511627907,0.2028169014084507,86.0
Tomato___Late_blight,0.26455026455026454,0.45454545454545453,0.33444816053511706,110.0
Tomato___Leaf_Mold,0.10526315789473684,0.022988505747126436,0.03773584905660377,87.0
Tomato___Septoria_leaf_spot,0.26881720430107525,0.3424657534246575,0.30120481927710846,146.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.4117647058823529,0.10144927536231885,0.16279069767441862,69.0
Tomato___Tomato_mosaic_virus,0.125,0.0196078431372549,0.03389830508474576,51.0
Tomato___healthy,0.0,0.0,0.0,60.0
micro avg,0.2099290780141844,0.20874471086036672,0.20933521923620935,709.0
macro avg,0.184486374447203,0.17245768542245038,0.13857612734384128,709.0
weighted avg,0.19812194741632527,0.20874471086036672,0.16646442021531382,709.0
