,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Tomato___Bacterial_spot,1,20,24,1,49,0,1,0,1,3
Tomato___Early_blight,4,27,26,0,29,0,0,0,0,0
Tomato___Late_blight,2,35,45,2,23,0,0,3,0,0
Tomato___Leaf_Mold,5,14,40,2,20,0,2,1,2,1
Tomato___Septoria_leaf_spot,7,50,25,1,61,0,0,0,0,2
Tomato___Spider_mites Two-spotted_spider_mite,0,0,0,0,0,0,0,0,0,0
Tomato___Target_Spot,0,0,0,0,0,0,0,0,0,0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,3,16,7,1,33,2,1,4,1,1
Tomato___Tomato_mosaic_virus,0,19,12,1,11,0,2,4,2,0
Tomato___healthy,1,22,11,0,22,0,1,1,2,0
