,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Tomato___Bacterial_spot,2,37,17,4,35,0,0,1,1,3
Tomato___Early_blight,1,36,23,2,24,0,0,0,0,0
Tomato___Late_blight,0,32,50,5,19,0,0,4,0,0
Tomato___Leaf_Mold,3,21,40,2,18,0,0,1,2,0
Tomato___Septoria_leaf_spot,4,65,21,4,50,0,0,0,0,2
Tomato___Spider_mites Two-spotted_spider_mite,0,0,0,0,0,0,0,0,0,0
Tomato___Target_Spot,0,0,0,0,0,0,0,0,0,0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1,28,10,1,18,2,0,7,2,0
Tomato___Tomato_mosaic_virus,0,19,15,1,11,0,1,3,1,0
Tomato___healthy,1,31,13,0,11,0,1,1,2,0
