,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.9597523219814241,0.9717868338557993,0.9657320872274143,319.0
Tomato___Early_blight,0.9357142857142857,0.8733333333333333,0.903448275862069,150.0
Tomato___Late_blight,0.9587628865979382,0.9721254355400697,0.9653979238754326,287.0
Tomato___Leaf_Mold,1.0,0.916083916083916,0.9562043795620438,143.0
Tomato___Septoria_leaf_spot,0.9735849056603774,0.9699248120300752,0.9717514124293786,266.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9477911646586346,0.9365079365079365,0.9421157684630739,252.0
Tomato___Target_Spot,0.8695652173913043,0.9478672985781991,0.9070294784580499,211.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9925187032418953,0.9900497512437811,0.9912826899128269,804.0
Tomato___Tomato_mosaic_virus,0.9818181818181818,0.9642857142857143,0.972972972972973,56.0
Tomato___healthy,0.991701244813278,1.0,0.9958333333333333,239.0
accuracy,0.9658965896589659,0.9658965896589659,0.9658965896589659,0.9658965896589659
macro avg,0.961120891187732,0.9541965031458824,0.9571768322096595,2727.0
weighted avg,0.9666159715404116,0.9658965896589659,0.9659539467514122,2727.0
