,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.9351032448377581,0.990625,0.9620637329286799,320.0
Tomato___Early_blight,0.9153846153846154,0.7933333333333333,0.85,150.0
Tomato___Late_blight,0.8837209302325582,0.926829268292683,0.9047619047619048,287.0
Tomato___Leaf_Mold,0.8679245283018868,0.9583333333333334,0.9108910891089109,144.0
Tomato___Septoria_leaf_spot,0.952755905511811,0.9063670411985019,0.9289827255278311,267.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9288389513108615,0.9841269841269841,0.9556840077071291,252.0
Tomato___Target_Spot,0.9303482587064676,0.8820754716981132,0.9055690072639225,212.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9962025316455696,0.977639751552795,0.986833855799373,805.0
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,57.0
Tomato___healthy,1.0,0.9833333333333333,0.9915966386554622,240.0
accuracy,0.9498902706656913,0.9498902706656913,0.9498902706656913,0.9498902706656913
macro avg,0.9410278965931529,0.9402663516869076,0.9396382961753215,2734.0
weighted avg,0.9509070523154485,0.9498902706656913,0.9496822283940791,2734.0
