,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.9461077844311377,0.9875,0.9663608562691132,320.0
Tomato___Early_blight,0.9710144927536232,0.8933333333333333,0.9305555555555556,150.0
Tomato___Late_blight,0.9858657243816255,0.9721254355400697,0.9789473684210527,287.0
Tomato___Leaf_Mold,0.9791666666666666,0.9791666666666666,0.9791666666666666,144.0
Tomato___Septoria_leaf_spot,0.9363957597173145,0.9925093632958801,0.9636363636363636,267.0
Tomato___Spider_mites Two-spotted_spider_mite,0.984251968503937,0.9920634920634921,0.9881422924901185,252.0
Tomato___Target_Spot,0.9801980198019802,0.9339622641509434,0.9565217391304348,212.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9949748743718593,0.9838509316770186,0.9893816364772018,805.0
Tomato___Tomato_mosaic_virus,0.9655172413793104,0.9824561403508771,0.9739130434782609,57.0
Tomato___healthy,0.987603305785124,0.9958333333333333,0.991701244813278,240.0
accuracy,0.9765910753474762,0.9765910753474762,0.9765910753474762,0.9765910753474762
macro avg,0.9731095837792576,0.9712800960411615,0.9718326766938045,2734.0
weighted avg,0.9770355969094607,0.9765910753474762,0.9765309572669927,2734.0
