,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.9754601226993865,0.9968652037617555,0.986046511627907,319.0
Tomato___Early_blight,0.9722222222222222,0.9333333333333333,0.9523809523809523,150.0
Tomato___Late_blight,0.9929824561403509,0.9860627177700348,0.9895104895104895,287.0
Tomato___Leaf_Mold,0.9929577464788732,0.986013986013986,0.9894736842105263,143.0
Tomato___Septoria_leaf_spot,0.9924528301886792,0.9887218045112782,0.9905838041431262,266.0
Tomato___Spider_mites Two-spotted_spider_mite,0.943609022556391,0.996031746031746,0.9691119691119691,252.0
Tomato___Target_Spot,0.9704433497536946,0.933649289099526,0.9516908212560387,211.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9975093399750934,0.996268656716418,0.9968886123210952,804.0
Tomato___Tomato_mosaic_virus,0.9807692307692307,0.9107142857142857,0.9444444444444444,56.0
Tomato___healthy,0.991701244813278,1.0,0.9958333333333333,239.0
accuracy,0.9842317565089842,0.9842317565089842,0.9842317565089842,0.9842317565089842
macro avg,0.9810107565597199,0.9727661022952365,0.9765964622339883,2727.0
weighted avg,0.9844028941030626,0.9842317565089842,0.9841584153513342,2727.0
