,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Tomato___Bacterial_spot,316,0,0,0,0,0,0,4,0,0
Tomato___Early_blight,7,134,0,0,6,0,3,0,0,0
Tomato___Late_blight,0,4,279,1,2,0,0,0,0,1
Tomato___Leaf_Mold,0,0,1,141,1,0,0,0,0,1
Tomato___Septoria_leaf_spot,0,0,1,1,265,0,0,0,0,0
Tomato___Spider_mites Two-spotted_spider_mite,0,0,0,0,0,250,1,0,1,0
Tomato___Target_Spot,3,0,0,0,8,1,198,0,1,1
Tomato___Tomato_Yellow_Leaf_Curl_Virus,8,0,1,0,1,3,0,792,0,0
Tomato___Tomato_mosaic_virus,0,0,0,1,0,0,0,0,56,0
Tomato___healthy,0,0,1,0,0,0,0,0,0,239
