,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.9420731707317073,0.9686520376175548,0.955177743431221,319.0
Tomato___Early_blight,0.967479674796748,0.7933333333333333,0.8717948717948718,150.0
Tomato___Late_blight,0.9448275862068966,0.9547038327526133,0.949740034662045,287.0
Tomato___Leaf_Mold,0.9854014598540146,0.9440559440559441,0.9642857142857143,143.0
Tomato___Septoria_leaf_spot,0.9137931034482759,0.9962406015037594,0.9532374100719424,266.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9678714859437751,0.9563492063492064,0.9620758483033932,252.0
Tomato___Target_Spot,0.9285714285714286,0.9241706161137441,0.9263657957244655,211.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9875930521091811,0.9900497512437811,0.9888198757763975,804.0
Tomato___Tomato_mosaic_virus,0.9482758620689655,0.9821428571428571,0.9649122807017544,56.0
Tomato___healthy,1.0,0.9874476987447699,0.9936842105263158,239.0
accuracy,0.9625962596259626,0.9625962596259626,0.9625962596259626,0.9625962596259626
macro avg,0.9585886823730994,0.9497145878857565,0.9530093785278122,2727.0
weighted avg,0.9632382223170949,0.9625962596259626,0.9622088081860724,2727.0
