,precision,recall,f1-score,support
Tomato___Bacterial_spot,0.9779874213836478,0.971875,0.9749216300940439,320.0
Tomato___Early_blight,0.9781021897810219,0.8933333333333333,0.9337979094076655,150.0
Tomato___Late_blight,0.9680851063829787,0.9512195121951219,0.9595782073813708,287.0
Tomato___Leaf_Mold,0.952054794520548,0.9652777777777778,0.9586206896551724,144.0
Tomato___Septoria_leaf_spot,0.9330985915492958,0.9925093632958801,0.9618874773139746,267.0
Tomato___Spider_mites Two-spotted_spider_mite,0.96484375,0.9801587301587301,0.9724409448818898,252.0
Tomato___Target_Spot,0.9468599033816425,0.9245283018867925,0.9355608591885441,212.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.991304347826087,0.991304347826087,0.991304347826087,805.0
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,57.0
Tomato___healthy,0.9917355371900827,1.0,0.995850622406639,240.0
accuracy,0.9729334308705194,0.9729334308705194,0.9729334308705194,0.9729334308705194
macro avg,0.9704071642015304,0.9670206366473723,0.9683962688155386,2734.0
weighted avg,0.9731662021356927,0.9729334308705194,0.9728262834486738,2734.0
