,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Tomato___Bacterial_spot,311,0,1,0,2,0,0,6,0,0
Tomato___Early_blight,1,134,4,0,4,0,7,0,0,0
Tomato___Late_blight,2,3,273,5,4,0,0,0,0,0
Tomato___Leaf_Mold,0,0,0,139,4,0,0,1,0,0
Tomato___Septoria_leaf_spot,0,0,0,2,265,0,0,0,0,0
Tomato___Spider_mites Two-spotted_spider_mite,0,0,0,0,0,247,4,0,0,1
Tomato___Target_Spot,1,0,1,0,4,9,196,0,0,1
Tomato___Tomato_Yellow_Leaf_Curl_Virus,3,0,3,0,1,0,0,798,0,0
Tomato___Tomato_mosaic_virus,0,0,0,0,0,0,0,0,57,0
Tomato___healthy,0,0,0,0,0,0,0,0,0,240
